id_departamento;nombre;pais_id;codigo_divipola
1;Antioquia;1;05
2;Atlántico;1;08
3;Bogotá, D.C.;1;11
4;Bolívar;1;13
5;Boyacá;1;15
6;Caldas;1;17
7;Caquetá;1;18
8;Cauca;1;19
9;Cesar;1;20
10;Córdoba;1;23
11;Cundinamarca;1;25
12;Chocó;1;27
13;Huila;1;41
14;La Guajira;1;44
15;Magdalena;1;47
16;Meta;1;50
17;Nariño;1;52
18;Norte de Santander;1;54
19;Quindío;1;63
20;Risaralda;1;66
21;Santander;1;68
22;Sucre;1;70
23;Tolima;1;73
24;Valle del Cauca;1;76
25;Arauca;1;81
26;Casanare;1;85
27;Putumayo;1;86
28;Archipiélago de San Andrés, Providencia y Santa Catalina;1;88
29;Amazonas;1;91
30;Guainía;1;94
31;Guaviare;1;95
32;Vaupés;1;97
33;Vichada;1;99
34;Sin Departamento;1;
