id_municipio;departamento_id;nombre;codigo_divipola;tipo
1;1;Medellín;05001;Municipio
2;1;Abejorral;05002;Municipio
3;1;Abriaquí;05004;Municipio
4;1;Alejandría;05021;Municipio
5;1;Amagá;05030;Municipio
6;1;Amalfi;05031;Municipio
7;1;Andes;05034;Municipio
8;1;Angelópolis;05036;Municipio
9;1;Angostura;05038;Municipio
10;1;Anorí;05040;Municipio
11;1;Santa Fé de Antioquia;05042;Municipio
12;1;Anzá;05044;Municipio
13;1;Apartadó;05045;Municipio
14;1;Arboletes;05051;Municipio
15;1;Argelia;05055;Municipio
16;1;Armenia;05059;Municipio
17;1;Barbosa;05079;Municipio
18;1;Belmira;05086;Municipio
19;1;Bello;05088;Municipio
20;1;Betania;05091;Municipio
21;1;Betulia;05093;Municipio
22;1;Ciudad Bolívar;05101;Municipio
23;1;Briceño;05107;Municipio
24;1;Buriticá;05113;Municipio
25;1;Cáceres;05120;Municipio
26;1;Caicedo;05125;Municipio
27;1;Caldas;05129;Municipio
28;1;Campamento;05134;Municipio
29;1;Cañasgordas;05138;Municipio
30;1;Caracolí;05142;Municipio
31;1;Caramanta;05145;Municipio
32;1;Carepa;05147;Municipio
33;1;El Carmen de Viboral;05148;Municipio
34;1;Carolina;05150;Municipio
35;1;Caucasia;05154;Municipio
36;1;Chigorodó;05172;Municipio
37;1;Cisneros;05190;Municipio
38;1;Cocorná;05197;Municipio
39;1;Concepción;05206;Municipio
40;1;Concordia;05209;Municipio
41;1;Copacabana;05212;Municipio
42;1;Dabeiba;05234;Municipio
43;1;Donmatías;05237;Municipio
44;1;Ebéjico;05240;Municipio
45;1;El Bagre;05250;Municipio
46;1;Entrerríos;05264;Municipio
47;1;Envigado;05266;Municipio
48;1;Fredonia;05282;Municipio
49;1;Frontino;05284;Municipio
50;1;Giraldo;05306;Municipio
51;1;Girardota;05308;Municipio
52;1;Gómez Plata;05310;Municipio
53;1;Granada;05313;Municipio
54;1;Guadalupe;05315;Municipio
55;1;Guarne;05318;Municipio
56;1;Guatapé;05321;Municipio
57;1;Heliconia;05347;Municipio
58;1;Hispania;05353;Municipio
59;1;Itagüí;05360;Municipio
60;1;Ituango;05361;Municipio
61;1;Jardín;05364;Municipio
62;1;Jericó;05368;Municipio
63;1;La Ceja;05376;Municipio
64;1;La Estrella;05380;Municipio
65;1;La Pintada;05390;Municipio
66;1;La Unión;05400;Municipio
67;1;Liborina;05411;Municipio
68;1;Maceo;05425;Municipio
69;1;Marinilla;05440;Municipio
70;1;Montebello;05467;Municipio
71;1;Murindó;05475;Municipio
72;1;Mutatá;05480;Municipio
73;1;Nariño;05483;Municipio
74;1;Necoclí;05490;Municipio
75;1;Nechí;05495;Municipio
76;1;Olaya;05501;Municipio
77;1;Peñol;05541;Municipio
78;1;Peque;05543;Municipio
79;1;Pueblorrico;05576;Municipio
80;1;Puerto Berrío;05579;Municipio
81;1;Puerto Nare;05585;Municipio
82;1;Puerto Triunfo;05591;Municipio
83;1;Remedios;05604;Municipio
84;1;Retiro;05607;Municipio
85;1;Rionegro;05615;Municipio
86;1;Sabanalarga;05628;Municipio
87;1;Sabaneta;05631;Municipio
88;1;Salgar;05642;Municipio
89;1;San Andrés de Cuerquía;05647;Municipio
90;1;San Carlos;05649;Municipio
91;1;San Francisco;05652;Municipio
92;1;San Jerónimo;05656;Municipio
93;1;San José de la Montaña;05658;Municipio
94;1;San Juan de Urabá;05659;Municipio
95;1;San Luis;05660;Municipio
96;1;San Pedro de los Milagros;05664;Municipio
97;1;San Pedro de Urabá;05665;Municipio
98;1;San Rafael;05667;Municipio
99;1;San Roque;05670;Municipio
100;1;San Vicente Ferrer;05674;Municipio
101;1;Santa Bárbara;05679;Municipio
102;1;Santa Rosa de Osos;05686;Municipio
103;1;Santo Domingo;05690;Municipio
104;1;El Santuario;05697;Municipio
105;1;Segovia;05736;Municipio
106;1;Sonsón;05756;Municipio
107;1;Sopetrán;05761;Municipio
108;1;Támesis;05789;Municipio
109;1;Tarazá;05790;Municipio
110;1;Tarso;05792;Municipio
111;1;Titiribí;05809;Municipio
112;1;Toledo;05819;Municipio
113;1;Turbo;05837;Municipio
114;1;Uramita;05842;Municipio
115;1;Urrao;05847;Municipio
116;1;Valdivia;05854;Municipio
117;1;Valparaíso;05856;Municipio
118;1;Vegachí;05858;Municipio
119;1;Venecia;05861;Municipio
120;1;Vigía del Fuerte;05873;Municipio
121;1;Yalí;05885;Municipio
122;1;Yarumal;05887;Municipio
123;1;Yolombó;05890;Municipio
124;1;Yondó;05893;Municipio
125;1;Zaragoza;05895;Municipio
126;2;Barranquilla;08001;Municipio
127;2;Baranoa;08078;Municipio
128;2;Campo de la Cruz;08137;Municipio
129;2;Candelaria;08141;Municipio
130;2;Galapa;08296;Municipio
131;2;Juan de Acosta;08372;Municipio
132;2;Luruaco;08421;Municipio
133;2;Malambo;08433;Municipio
134;2;Manatí;08436;Municipio
135;2;Palmar de Varela;08520;Municipio
136;2;Piojó;08549;Municipio
137;2;Polonuevo;08558;Municipio
138;2;Ponedera;08560;Municipio
139;2;Puerto Colombia;08573;Municipio
140;2;Repelón;08606;Municipio
141;2;Sabanagrande;08634;Municipio
142;2;Sabanalarga;08638;Municipio
143;2;Santa Lucía;08675;Municipio
144;2;Santo Tomás;08685;Municipio
145;2;Soledad;08758;Municipio
146;2;Suan;08770;Municipio
